pe_ratio,crest_factor,spectral_slope,gd_variance,class
0.0,12.419532183878694,-5.0711749232452246e-05,15.073483888294824,Click_M3
0.0,12.419532183878632,-5.071174923242416e-05,15.073483888295245,Click_M3
0.0,12.419532183879346,-5.071174923274716e-05,15.073483888291042,Click_M3
0.0,12.419532183879294,-5.07117492327241e-05,15.073483888291245,Click_M3
0.0,12.41953218387934,-5.071174923274535e-05,15.073483888290982,Click_M3
0.0,12.41953218387933,-5.071174923274032e-05,15.073483888291081,Click_M3
0.0,12.419532183877852,-5.071174923207411e-05,15.07348388829993,Click_M3
0.0,12.419532183878424,-5.071174923233093e-05,15.073483888296481,Click_M3
0.0,12.419532183879351,-5.071174923274915e-05,15.073483888290982,Click_M3
0.0,12.419532183879351,-5.0711749232749094e-05,15.073483888290866,Click_M3
0.0,12.41953218387935,-5.071174923274898e-05,15.073483888290985,Click_M3
0.0,12.41953218387935,-5.071174923274933e-05,15.073483888290951,Click_M3
0.0,12.41953218387935,-5.071174923274816e-05,15.073483888291017,Click_M3
0.0,12.419532183879344,-5.071174923274705e-05,15.07348388829095,Click_M3
0.0,12.419532183879342,-5.071174923274569e-05,15.073483888291104,Click_M3
0.0,12.419532183879335,-5.071174923274277e-05,15.07348388829103,Click_M3
0.0,12.419532183879149,-5.071174923265814e-05,15.073483888292177,Click_M3
0.0,12.419532183879133,-5.0711749232652e-05,15.07348388829226,Click_M3
0.0,12.419532183879348,-5.071174923274828e-05,15.073483888290955,Click_M3
0.0,12.41953218387935,-5.071174923274915e-05,15.073483888290935,Click_M3
0.0,12.419532183879353,-5.0711749232749446e-05,15.073483888290985,Click_M3
0.0,12.419532183878923,-5.071174923255719e-05,15.073483888293543,Click_M3
0.0,12.419532183879346,-5.071174923274851e-05,15.07348388829091,Click_M3
0.0,12.419532183878406,-5.0711749232324134e-05,15.073483888296614,Click_M3
0.0,12.419532183879037,-5.0711749232608215e-05,15.073483888292854,Click_M3
0.0,12.419532183877303,-5.071174923182743e-05,15.073483888303105,Click_M3
0.0,12.419532183879344,-5.071174923274722e-05,15.073483888290989,Click_M3
0.0,12.419532183879346,-5.071174923274845e-05,15.073483888290985,Click_M3
0.0,12.41953218387935,-5.0711749232749094e-05,15.073483888291074,Click_M3
0.0,12.419532183879346,-5.071174923274769e-05,15.073483888291083,Click_M3
0.0,12.419532183879342,-5.071174923274593e-05,15.073483888291037,Click_M3
0.0,12.419532183879321,-5.0711749232735806e-05,15.073483888291056,Click_M3
0.0,12.419532183879221,-5.071174923269168e-05,15.073483888291717,Click_M3
0.0,12.419532183878554,-5.0711749232389864e-05,15.07348388829563,Click_M3
0.0,12.419532183878292,-5.071174923227199e-05,15.073483888297211,Click_M3
0.0,12.419532183879344,-5.071174923274646e-05,15.073483888290998,Click_M3
0.0,12.419532183879246,-5.071174923270262e-05,15.073483888291575,Click_M3
0.0,12.419532183879326,-5.071174923273844e-05,15.073483888291165,Click_M3
